timestamp,gender,benefits,location,work_arrangement,employee_count ,position,level,experience,lang_tool,salary_currency,salary
1/31/2023 21:38:10,male,"Road/fuel assistance, Company vehicle, Supplementary health insurance",Turkey,Office,151-300,Backend Developer / Engineer,Mid,1-3 Years,"Java and related frameworks, Cloud tools ( AWS, Azure, GCP etc), SQL",TRY,37.001 - 45.000
1/31/2023 21:38:48,male,Meal card,Turkey,Remote,1.000-5.000,Backend Developer / Engineer,Junior,0-1 Years,Java and related frameworks,TRY,"5.001 - 8.506,80"
1/31/2023 21:39:34,male,Meal card,Turkey,Hybrid,601-1.000,Backend Developer / Engineer,Senior,12 Years and Older,"C# / .NET Framework, Cloud tools ( AWS, Azure, GCP etc), SQL, NoSQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,45.001 - 55.000
1/31/2023 21:39:51,male,"Meal card, Road/fuel assistance, Supplementary health insurance, Leaandon certain days",Turkey,Remote,51-150,Backend Developer / Engineer,Mid,1-3 Years,"Javascript / Typescript and  related frameworks, Golang, Cloud tools ( AWS, Azure, GCP etc), SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes",TRY,30.001 - 37.000
1/31/2023 21:40:07,male,"Meal card, Road/fuel assistance",Turkey,Hybrid,1.000-5.000,Backend Developer / Engineer,Junior,1-3 Years,"Java and related frameworks, Figma / XD and  other design tools, SQL, Kubernetes, MS Office",TRY,18.001 - 20.000
1/31/2023 21:41:52,male,"Meal card, Education funds, Supplementary health insurance, Life insurance",Turkey,Remote,5.000-10.000,Backend Developer / Engineer,Mid,1-3 Years,"Java and related frameworks, Kotlin, Golang, DevOps tools, Kubernetes",TRY,37.001 - 45.000
1/31/2023 21:42:01,male,"Meal card, Supplementary health insurance",Turkey,Remote,51-150,Backend Developer / Engineer,Senior,9-12 Years,"C# / .NET Framework, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,30.001 - 37.000
1/31/2023 21:43:40,male,"Meal card, Road/fuel assistance",Turkey,Remote,1-50,Backend Developer / Engineer,Senior,5-9 Years,"C# / .NET Framework, Javascript / Typescript and  related frameworks, SQL",TRY,20.001 - 25.000
1/31/2023 21:43:45,male,"Meal card, Road/fuel assistance, Supplementary health insurance",Turkey,Remote,51-150,Backend Developer / Engineer,Junior,1-3 Years,"Java and related frameworks, Cloud tools ( AWS, Azure, GCP etc), SQL, NoSQL, DevOps tools, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes, Linux",TRY,18.001 - 20.000
1/31/2023 21:48:21,male,"Meal card, Road/fuel assistance, Education funds, Supplementary health insurance, Leaandon certain days, Life insurance",Turkey,Hybrid,1.000-5.000,Backend Developer / Engineer,Junior,1-3 Years,"C# / .NET Framework, Java and related frameworks, Python / R, SQL",TRY,20.001 - 25.000
1/31/2023 21:48:59,male,"Meal card, Road/fuel assistance, Gift vouchers on special occasions, Supplementary health insurance",Turkey,Hybrid,151-300,Backend Developer / Engineer,Mid,5-9 Years,Java and related frameworks,TRY,37.001 - 45.000
1/31/2023 21:49:42,male,"Meal card, Road/fuel assistance, Education funds, Supplementary health insurance, Employee stock options, Leaandon certain days, Medical leave",Turkey,Remote,51-150,Backend Developer / Engineer,Junior,0-1 Years,"C# / .NET Framework, Python / R",TRY,18.001 - 20.000
1/31/2023 21:52:45,male,"Meal card, Gift vouchers on special occasions, Supplementary health insurance, Leaandon certain days, Life insurance, Retirement planning services",Turkey,Remote,601-1.000,Backend Developer / Engineer,Junior,0-1 Years,"Java and related frameworks, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,25.001 - 30.000
1/31/2023 21:53:59,male,"Gift vouchers on special occasions, Medical leave",Turkey,Remote,1-50,Backend Developer / Engineer,Junior,1-3 Years,"Javascript / Typescript and  related frameworks, PHP, SQL",TRY,15.001 - 18.000
1/31/2023 21:54:17,male,"Meal card, Supplementary health insurance",Turkey,Hybrid,1-50,Backend Developer / Engineer,Mid,1-3 Years,"Golang, SQL",TRY,25.001 - 30.000
1/31/2023 21:54:41,male,"Meal card, Supplementary health insurance, Leaandon certain days",Turkey,Hybrid,1.000-5.000,Backend Developer / Engineer,Mid,3-5 Years,Java and related frameworks,TRY,37.001 - 45.000
1/31/2023 21:54:56,male,"Gym membership/discount, Leaandon certain days",Abroad,Remote,151-300,Backend Developer / Engineer,Mid,5-9 Years,Python / R,EUR,160.001 - 200.000
1/31/2023 21:56:04,male,"Meal card, Supplementary health insurance, Leaandon certain days",Turkey,Office,1-50,Backend Developer / Engineer,Senior,5-9 Years,"C# / .NET Framework, SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,70.001 - 85.000
1/31/2023 21:56:30,male,"Meal card, Supplementary health insurance, Retirement planning services",Turkey,Hybrid,151-300,Backend Developer / Engineer,Mid,1-3 Years,"Java and related frameworks, SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,30.001 - 37.000
1/31/2023 21:56:42,male,"Meal card, Supplementary health insurance",Turkey,Remote,601-1.000,Backend Developer / Engineer,Mid,1-3 Years,C# / .NET Framework,TRY,25.001 - 30.000
1/31/2023 22:01:02,male,"Meal card, Supplementary health insurance",Turkey,Hybrid,1-50,Backend Developer / Engineer,Mid,5-9 Years,C# / .NET Framework,TRY,25.001 - 30.000
1/31/2023 22:01:41,male,"Meal card, Road/fuel assistance, Supplementary health insurance, Life insurance",Turkey,Remote,151-300,Backend Developer / Engineer,Junior,1-3 Years,C# / .NET Framework,TRY,20.001 - 25.000
1/31/2023 22:02:06,male,"Meal card, Education funds, Supplementary health insurance, Employee stock options",Abroad,Remote,1-50,Backend Developer / Engineer,Senior,5-9 Years,Java and related frameworks,TRY,45.001 - 55.000
1/31/2023 22:02:40,male,"Road/fuel assistance, Gym membership/discount, Education funds, Retirement planning services, Medical leave",Abroad,Hybrid,5.000-10.000,Backend Developer / Engineer,Mid,3-5 Years,"Python / R, Golang, SQL, DevOps tools, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes, Linux",EUR,100.001 - 130.000
1/31/2023 22:05:47,male,"Meal card, Supplementary health insurance",Turkey,Remote,151-300,Backend Developer / Engineer,Junior,1-3 Years,Java and related frameworks,TRY,18.001 - 20.000
1/31/2023 22:06:26,male,"Meal card, Education funds, Supplementary health insurance, Leaandon certain days",Turkey,Remote,1-50,Backend Developer / Engineer,Mid,3-5 Years,"Python / R, Golang, SQL, Jira / Asana / Trello / Bitrix24 and  similar PM tools",TRY,37.001 - 45.000
1/31/2023 22:07:07,male,"Meal card, Food aid, Supplementary health insurance, Life insurance, Retirement planning services",Turkey,Remote,1.000-5.000,Backend Developer / Engineer,Senior,5-9 Years,Java and related frameworks,TRY,45.001 - 55.000
1/31/2023 22:07:21,male,"Meal card, Supplementary health insurance",Turkey,Hybrid,151-300,Backend Developer / Engineer,Mid,1-3 Years,"PHP, SQL, NoSQL",TRY,25.001 - 30.000
1/31/2023 22:07:39,male,"Meal card, Supplementary health insurance, Leaandon certain days, Life insurance",Turkey,Remote,601-1.000,Backend Developer / Engineer,Mid,3-5 Years,Java and related frameworks,TRY,37.001 - 45.000
1/31/2023 22:08:01,male,"Meal card, Supplementary health insurance",Abroad,Remote,51-150,Backend Developer / Engineer,Senior,5-9 Years,"C# / .NET Framework, Cloud tools ( AWS, Azure, GCP etc), DevOps tools, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Docker / containerd / Hyper-V / LXC / Podman, Kubernetes",TRY,55.001 - 70.000
1/31/2023 22:10:11,male,"Meal card, Road/fuel assistance, Gift vouchers on special occasions, Education funds, Supplementary health insurance, Life insurance",Turkey,Remote,1.000-5.000,Backend Developer / Engineer,Mid,3-5 Years,"C# / .NET Framework, Java and related frameworks, Javascript / Typescript and  related frameworks, Kotlin, Figma / XD and  other design tools, NoSQL, DevOps tools, Jira / Asana / Trello / Bitrix24 and  similar PM tools, Kubernetes",TRY,45.001 - 55.000
